prodname,category,price,qty,date_sold
USB Cable,Electronics,7.99,3.0, 2024-01-02
Laptop Stand,Office,0.0,2.0, 2024-01-03
Laptop  Stand,Office Supplies,24.99,4.421052631578948, 2024-01-03
Wireless Mouse,Electronics,37.52222222222222,1.0, 2024-01-04
wireless  mouse , electronics,15.99,1.0, 2024-01-04
Coffee Mug,Kitchen,5.49,10.0, 2024-01-05
Notebook,Office,3.25,25.0, 2024-01-06
Notebook ,Office,3.25,0.0, 2024-01-06
Desk Chair,Office,89.99,1.0,   
Desk  Chair, office,89.99,1.0, 2024-01-07
Water Bottle,Fitness,12.0,4.0, 2024-01-07
water bottle , fitness ,37.52222222222222,4.0, 2024-01-07
Pen Set,Office,4.5,12.0, 2024-01-08
Pen Set,Office,4.5,12.0, 2024-01-08
Standing Desk,Office,199.99,1.0, 2024-01-08
standing desk, office furniture ,199.99,1.0, 2024-01-08
Stapler,Office,6.25,5.0, 2024-01-09
